kab_kota,provinsi,stunting,melahirkan_tidak_difaskes,kemiskinan,konsumsi_protein_per_kapita,pangan_hewani,rls,lon,lat,regency_id,faktor_dominan,fi_Melahirkan Tidak di Faskes,fi_Kemiskinan,fi_Konsumsi Protein,fi_Pangan Hewani,fi_RLS,stunting_pred_gwrf,residual_gwrf,skor_prioritas,skor_prioritas_100,rank_prioritas,kategori_stunting
Serdang Bedagai,Sumatera Utara,15.5,0.04,6.97,58.8,48.55,9.12,99.05770987285229,3.3662863650385537,1218,RLS,0.207047728771595,0.1824085395114125,0.20698882992946635,0.18473404108570946,0.21882086070181672,13.268707816626929,2.2312921833730712,-0.3493457525102808,29.807091546074677,285,Sedang
Nias Barat,Sumatera Utara,25.4,0.25,22.68,53.4,31.48,7.26,97.49119252818018,1.0306850514780743,1225,Kemiskinan,0.0975870491070135,0.2462384839726931,0.23635977495501134,0.21647660414498296,0.2033380878202992,23.419873277367014,1.9801267226329848,1.4563656142298753,74.90776254932815,13,Tinggi
Kota Tanjung Balai,Sumatera Utara,3.9,0.06,11.97,66.5,64.89,9.69,99.79472509990624,2.9639964568332187,1272,RLS,0.22557830100710172,0.14572470087691866,0.20782399384312691,0.1737441586818602,0.24712884559099257,12.792781326272523,-8.892781326272523,-1.2769319454538433,6.639070075050686,399,Rendah
Kota Pematangsiantar,Sumatera Utara,10.9,0.03,7.2,62.0,54.04,11.82,99.05903398598774,2.961418746255022,1273,RLS,0.22614465137109477,0.184028861721701,0.18698715654942688,0.15400195754366228,0.24883737281411508,12.364625504550208,-1.4646255045502077,-1.0351481932617386,12.678024950344144,381,Sedang
Kota Binjai,Sumatera Utara,22.3,0.04,4.75,62.8,56.71,11.2,98.48921963359176,3.600228873478468,1276,RLS,0.23507890324670797,0.17670357876297588,0.1570816991787702,0.16739938243973507,0.263736436371811,33.407479465815314,-11.107479465815313,-0.27651850633571107,31.62607420869247,270,Tinggi
Kota Padang Sidempuan,Sumatera Utara,24.4,0.02,6.23,64.8,57.09,11.13,99.2856936904632,1.3908160534371616,1277,RLS,0.15279053733644837,0.2349439035923388,0.23330720239411407,0.1411688585294764,0.23778949814762235,20.24293415857138,4.157065841428619,-0.08856446601014385,36.32054171473629,222,Tinggi
Kota Gunungsitoli,Sumatera Utara,13.8,0.07,14.72,53.3,46.96,8.76,97.5866835531846,1.268531749186064,1278,RLS,0.12854695401122251,0.2504452295921982,0.1378262854144414,0.23078352877945235,0.2523980022026855,5.375604363595373,8.424395636404627,-0.1270807907652888,35.35853188136394,235,Sedang
Kepulauan Mentawai,Sumatera Barat,20.4,0.56,13.89,53.3,56.55,8.03,99.33687918467982,-1.8495152395285297,1301,RLS,0.21568149097413852,0.13800576388373365,0.17450703461614436,0.2179066870904562,0.2538990234355272,23.313634347281997,-2.9136343472819988,0.5738667307219385,52.86587227885647,70,Tinggi
Pesisir Selatan,Sumatera Barat,21.6,0.06,7.49,57.0,45.57,8.81,100.87929042928602,-1.738398075424035,1302,Pangan Hewani,0.22995410792340715,0.1901891084275184,0.19146881965427415,0.23058000960671032,0.1578079543880899,12.854174224883272,8.74582577511673,0.18766480971349808,43.21983133286035,144,Tinggi
Solok,Sumatera Barat,23.4,0.06,7.31,58.6,38.34,7.91,100.8412914218063,-0.983585062642832,1303,RLS,0.20133457108117644,0.1769302223018663,0.20468204253956407,0.19293157558043023,0.22412158849696298,29.32899395276845,-5.928993952768451,0.5050639225688794,51.14740670801997,83,Tinggi
